TEAM,AVG,PTS
Montreal,20672,77
Detroit,20058,110
Philadelphia,19325,107
St. Louis,18570,99
Dallas,18532,111
Minnesota,18500,95
Vancouver,18396,104
NY Rangers,18148,78
Colorado,18007,105
Columbus,17744,69
Los Angeles,17569,78
San Jose,17350,73
Ottawa,17198,113
Edmonton,16657,92
Tampa Bay,16545,93
Calgary,16239,75
Washington,15787,92
Carolina,15682,61
Florida,15428,70
Boston,15029,87
NY Islanders,14930,83
New Jersey,14858,108
Chicago,14794,79
Pittsburgh,14750,65
Anaheim,13988,95
Buffalo,13776,72
Winnipeg,13476,74
Arizona,13229,78
Nashville,13228,74
